MegaMek Equipment Extended Database
This file can be regenerated with java -jar MegaMek.jar -eqedb /Users/ianbellomy/Sites/megamek/megamek/extended-equipment.txt
Type,Name,Tech Base,Rules,Tech Rating,Static Tech Level,Introduction Date,Prototype Date,Production Date,Common Date,Extinction Date,Re-Introduction Date,Tonnage,CriticalSlots,Cost,BV,RulesRef,Alias
W,"Medium Laser","Inner Sphere","IS_Box_Set/IS_Advanced/IS_Experimental","C/B-B-B-B","Introductory","2290(TA)","2290(TA)","~2300(TA)","2310","~2850(Clan)","-",1.0,1,40000.0,46.0,"227, TM","Medium Laser,IS Medium Laser,ISMediumLaser,"
W,"Primitive Prototype Medium Laser","Inner Sphere","IS_Experimental","C/F-X-X-X","Experimental","2290(TA)","2290(TA)","-","-","-","-",1.0,1,40000.0,46.0,"118, IO","Primitive Prototype Medium Laser,IS Medium Laser Prototype,ISMediumLaserPrototype,"
W,"Large Laser","Inner Sphere","IS_Box_Set/IS_Advanced/IS_Experimental","C/B-D-C-B","Introductory","2306(TA)","2306(TA)","2316(TH)","2320","~2850","-",5.0,2,100000.0,123.0,"227, TM","Large Laser,IS Large Laser,ISLargeLaser,"
W,"Primitive Prototype Large Laser","Inner Sphere","IS_Experimental","C/F-X-X-X","Experimental","2306(TA)","2306(TA)","-","-","-","-",5.0,2,100000.0,123.0,"118, IO","Primitive Prototype Large Laser,IS Large Laser Prototype,ISLargeLaserPrototype,"
W,"Small Laser","Inner Sphere","IS_Box_Set/IS_Advanced/IS_Experimental","C/B-B-B-B","Introductory","2290(TA)","2290(TA)","~2300(TA)","2310","~2850","-",0.5,1,11250.0,9.0,"227, TM","Small Laser,ISSmall Laser,ISSmallLaser,ClSmall Laser,CL Small Laser,CLSmallLaser,"
W,"Primitive Prototype Small Laser","Inner Sphere","IS_Experimental","C/F-X-X-X","Experimental","2290(TA)","2290(TA)","-","-","-","-",0.5,1,11250.0,9.0,"118, IO","Primitive Prototype Small Laser,ISSmall Laser Primitive,ISSmallLaserPrimitive,"
W,"Large Pulse Laser","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/E-F(F*)-D-C","Standard","2595(TH)","2595(TH)","2609(TH)","3042","2950","3037(DC)",7.0,2,175000.0,119.0,"226, TM","ISLargePulseLaser,IS Pulse Large Laser,IS Large Pulse Laser,"
W,"Prototype Large Pulse Laser","Inner Sphere","IS_Experimental","E/F-X-X-X","Experimental","2595(TH)","2595(TH)","-","-","~2609","-",7.0,2,875000.0,108.0,"71, IO","ISLargePulseLaserPrototype,IS Pulse Large Laser Prototype,IS Prototype Large Pulse Laser,"
W,"Large X-Pulse Laser","Inner Sphere","IS_TW_Non_Box/IS_Advanced","E/X-X-E-D","Standard","3047(LC)","-","3047(LC)","3078","-","-",7.0,2,275000.0,178.0,"321, TO","ISLargeXPulseLaser,IS X-Pulse Large Laser,IS Large X-Pulse Laser,"
W,"ER Large Laser","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/E-F(F*)-D-C","Standard","~2610(TH)","~2610(TH)","2620(TH)","3045","2950","3037(DC)",5.0,2,200000.0,163.0,"226, TM","ISERLargeLaser,IS ER Large Laser,"
W,"Prototype ER Large Laser","Inner Sphere","IS_Experimental","E/X-F(F*)-X-X","Experimental","3030(FS)","3030(FS)","-","-","~3037","-",5.0,2,600000.0,136.0,"103, IO","ISERLargeLaserPrototype,IS ER Large Laser Prototype,"
W,"ER Medium Laser","Inner Sphere","IS_TW_Non_Box/IS_Experimental","E/X-X-D-C","Standard","3052(FW,WB)","3052(FW,WB)","3058(FW)","~3062","-","-",1.0,1,80000.0,62.0,"226, TM","ISERMediumLaser,IS ER Medium Laser,"
W,"Medium Pulse Laser","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/E-F(F*)-D-C","Standard","2595(TH)","2595(TH)","2609(TH)","3042","2950","3037(DC)",2.0,1,60000.0,48.0,"226, TM","ISMediumPulseLaser,IS Pulse Med Laser,IS Medium Pulse Laser,"
W,"Prototype Medium Pulse Laser","Inner Sphere","IS_Experimental","E/F-X-X-X","Experimental","2595(TH)","2595(TH)","-","-","~2609","-",2.0,1,300000.0,43.0,"71, IO","ISMediumPulseLaserPrototype,IS Pulse Med Laser Prototype,IS Medium Pulse Laser Prototype,"
W,"Medium Pulse Laser (Recovered Prototype)","Inner Sphere","IS_Experimental","E/X-F(F*)-X-X","Experimental","3031(FS,DC)","3031(FS,DC)","-","-","~3037","-",2.0,1,240000.0,48.0,"103, IO","ISMediumPulseLaserRecovered,IS Pulse Med Laser Recovered,"
W,"Medium X-Pulse Laser","Inner Sphere","IS_TW_Non_Box/IS_Advanced","E/X-X-E-D","Standard","3047(LC)","-","3047(LC)","3078","-","-",2.0,1,110000.0,71.0,"321, TO","ISMediumXPulseLaser,IS X-Pulse Med Laser,IS Medium X-Pulse Laser,"
W,"Small Pulse Laser","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/E-F(F*)-D-C","Standard","2595(TH)","2595(TH)","2609(TH)","3042","2950","3037(DC)",1.0,1,16000.0,12.0,"226, TM","ISSmallPulseLaser,IS Small Pulse Laser,ISSmall Pulse Laser,"
W,"Small X-Pulse Laser","Inner Sphere","IS_TW_Non_Box/IS_Advanced","E/X-X-E-D","Standard","3047(LC)","-","3047(LC)","3078","-","-",1.0,1,31000.0,21.0,"321, TO","ISSmallXPulseLaser,IS X-Pulse Small Laser,IS Small X-Pulse Laser,"
W,"Prototype Small Pulse Laser","Inner Sphere","IS_Experimental","E/F-X-X-X","Experimental","2595(TH)","2595(TH)","-","-","~2609","-",1.0,1,80000.0,11.0,"71, IO","ISSmallPulseLaserPrototype,IS Prototype Small Pulse Laser,ISSmall Pulse Laser Prototype,"
W,"ER Small Laser","Inner Sphere","IS_TW_Non_Box/IS_Experimental","E/X-X-D-C","Standard","3052(FW,WB)","3052(FW,WB)","3058(FW)","~3062","-","-",0.5,1,11250.0,17.0,"226, TM","ISERSmallLaser,IS ER Small Laser,"
W,"Medium VSP Laser","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","3070(FW,WB)","3070(FW,WB)","3072(FW,WB)","3080","-","-",4.0,2,200000.0,56.0,"321, TO","ISMediumVSPLaser,ISMVSPL,ISMediumVariableSpeedLaser,ISMediumVSP,"
W,"Small VSP Laser","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","3070(FW,WB)","3070(FW,WB)","3072(FW,WB)","3080","-","-",2.0,1,60000.0,22.0,"321, TO","ISSmallVSPLaser,ISSVSPL,ISSmallVariableSpeedLaser,ISSmallVSP,"
